Library,R1_files
FLC4_2N-R1-Time0,Stanford_redos_LT_FLC4_2N-R1-Time0_R1.fastq.gz
FLC4_2N-R1-Time120,Stanford_high_LT_FLC4_2N-R1-Time120_R1.fastq.gz
FLC4_2N-R1-Time136,Stanford_high_LT_FLC4_2N-R1-Time136_R1.fastq.gz
FLC4_2N-R1-Time152,Stanford_high_LT_FLC4_2N-R1-Time152_R1.fastq.gz
FLC4_2N-R1-Time16,Stanford_redos_LT_FLC4_2N-R1-Time16_R1.fastq.gz
FLC4_2N-R1-Time176,Stanford_high_LT_FLC4_2N-R1-Time176_R1.fastq.gz
FLC4_2N-R1-Time216,Stanford_high_LT_FLC4_2N-R1-Time216_R1.fastq.gz
FLC4_2N-R1-Time24,Stanford_redos_LT_FLC4_2N-R1-Time24_R1.fastq.gz
FLC4_2N-R1-Time32,Stanford_redos_LT_FLC4_2N-R1-Time32_R1.fastq.gz
FLC4_2N-R1-Time40,Stanford_redos_LT_FLC4_2N-R1-Time40_R1.fastq.gz
FLC4_2N-R1-Time48,Stanford_redos_LT_FLC4_2N-R1-Time48_R1.fastq.gz
FLC4_2N-R1-Time56,Stanford_redos_LT_FLC4_2N-R1-Time56_R1.fastq.gz
FLC4_2N-R1-Time64,Stanford_high_LT_FLC4_2N-R1-Time64_R1.fastq.gz
FLC4_2N-R1-Time8,Stanford_high_LT_FLC4_2N-R1-Time8_R1.fastq.gz
FLC4_2N-R1-Time80,Stanford_high_LT_FLC4_2N-R1-Time80_R1.fastq.gz
FLC4_2N-R1-Time88,Stanford_high_LT_FLC4_2N-R1-Time88_R1.fastq.gz
FLC4_2N-R1-Time96,Stanford_high_LT_FLC4_2N-R1-Time96_R1.fastq.gz
