Library,R1_files
48Hr_2N-R2-Time120,Harvard_dip_LT_48Hr_2N-R2-Time120_R1.fastq.gz
48Hr_2N-R2-Time160,Harvard_dip_LT_48Hr_2N-R2-Time160_R1.fastq.gz
48Hr_2N-R2-Time200,Harvard_dip_LT_48Hr_2N-R2-Time200_R1.fastq.gz
48Hr_2N-R2-Time240,Harvard_dip_LT_48Hr_2N-R2-Time240_R1.fastq.gz
48Hr_2N-R2-Time280,Harvard_dip_LT_48Hr_2N-R2-Time280_R1.fastq.gz
48Hr_2N-R2-Time320,Harvard_dip_LT_48Hr_2N-R2-Time320_R1.fastq.gz
48Hr_2N-R2-Time8,Harvard_dip_LT_48Hr_2N-R2-Time8_R1.fastq.gz
48Hr_2N-R2-Time80,Harvard_dip_LT_48Hr_2N-R2-Time80_R1.fastq.gz
