Library,R1_files
YPD_2N-R1-Time120,Harvard_dip_LT_YPD_2N-R1-Time120_R1.fastq.gz
YPD_2N-R1-Time160,Harvard_dip_LT_YPD_2N-R1-Time160_R1.fastq.gz
YPD_2N-R1-Time200,Harvard_dip_LT_YPD_2N-R1-Time200_R1.fastq.gz
YPD_2N-R1-Time240,Harvard_dip_LT_YPD_2N-R1-Time240_R1.fastq.gz
YPD_2N-R1-Time280,Harvard_dip_LT_YPD_2N-R1-Time280_R1.fastq.gz
YPD_2N-R1-Time320,Harvard_dip_LT_YPD_2N-R1-Time320_R1.fastq.gz
YPD_2N-R1-Time8,Harvard_dip_LT_YPD_2N-R1-Time8_R1.fastq.gz
YPD_2N-R1-Time80,Harvard_dip_LT_YPD_2N-R1-Time80_R1.fastq.gz
