Library,R1_files
hBFA1-21C-R1-Time16,hBFA1_h1_hBFA1-21C-R1-Time16_R1.fastq.gz
hBFA1-21C-R1-Time24,hBFA1_h1_hBFA1-21C-R1-Time24_R1.fastq.gz
hBFA1-21C-R1-Time40,hBFA1_h1_hBFA1-21C-R1-Time40_R1.fastq.gz
hBFA1-21C-R1-Time8,hBFA1_h1_hBFA1-21C-R1-Time8_R1.fastq.gz
hBFA1-21C-R2-Time16,hBFA1_h1_hBFA1-21C-R2-Time16_R1.fastq.gz
hBFA1-21C-R2-Time24,hBFA1_h1_hBFA1-21C-R2-Time24_R1.fastq.gz
hBFA1-21C-R2-Time40,hBFA1_h1_hBFA1-21C-R2-Time40_R1.fastq.gz
hBFA1-21C-R2-Time8,hBFA1_h1_hBFA1-21C-R2-Time8_R1.fastq.gz
hBFA1-21C_alpha-R1-Subpool,hBFA1-21C_alpha-R1-Subpool_S18_R1_001.fastq.gz
hBFA1-21C_alpha-R2-Subpool,hBFA1-21C_alpha-R2-Subpool_S19_R1_001.fastq.gz
hBFA1-37C-R1-Time16,hBFA1_h1_hBFA1-37C-R1-Time16_R1.fastq.gz
hBFA1-37C-R1-Time24,hBFA1_h1_hBFA1-37C-R1-Time24_R1.fastq.gz
hBFA1-37C-R1-Time40,hBFA1_h1_hBFA1-37C-R1-Time40_R1.fastq.gz
hBFA1-37C-R1-Time8,hBFA1_h1_hBFA1-37C-R1-Time8_R1.fastq.gz
hBFA1-37C-R2-Time16,hBFA1_h1_hBFA1-37C-R2-Time16_R1.fastq.gz
hBFA1-37C-R2-Time24,hBFA1_h1_hBFA1-37C-R2-Time24_R1.fastq.gz
hBFA1-37C-R2-Time40,hBFA1_h1_hBFA1-37C-R2-Time40_R1.fastq.gz
hBFA1-37C-R2-Time8,hBFA1_h1_hBFA1-37C-R2-Time8_R1.fastq.gz
hBFA1-37C_alpha-R1-Subpool,hBFA1-37C_alpha-R1-Subpool_S8_R1_001.fastq.gz
hBFA1-37C_alpha-R2-Subpool,hBFA1-37C_alpha-R2-Subpool_S9_R1_001.fastq.gz
hBFA1-48Hr-R1-Time16,hBFA1_h2_hBFA1-48Hr-R1-Time16_R1.fastq.gz
hBFA1-48Hr-R1-Time24,hBFA1_h2_hBFA1-48Hr-R1-Time24_R1.fastq.gz
hBFA1-48Hr-R1-Time40,hBFA1_h2_hBFA1-48Hr-R1-Time40_R1.fastq.gz
hBFA1-48Hr-R1-Time8,hBFA1_h2_hBFA1-48Hr-R1-Time8_R1.fastq.gz
hBFA1-48Hr-R2-Time16,hBFA1_h2_hBFA1-48Hr-R2-Time16_R1.fastq.gz
hBFA1-48Hr-R2-Time24,hBFA1_h2_hBFA1-48Hr-R2-Time24_R1.fastq.gz
hBFA1-48Hr-R2-Time40,hBFA1_h2_hBFA1-48Hr-R2-Time40_R1.fastq.gz
hBFA1-48Hr-R2-Time8,hBFA1_h2_hBFA1-48Hr-R2-Time8_R1.fastq.gz
hBFA1-CLM_alpha-R1-Subpool,hBFA1-CLM_alpha-R1-Subpool_S16_R1_001.fastq.gz
hBFA1-CLM_alpha-R2-Subpool,hBFA1-CLM_alpha-R2-Subpool_S17_R1_001.fastq.gz
hBFA1-FLC4-R2-Time16,hBFA1_h2_hBFA1-FLC4-R2-Time16_R1.fastq.gz
hBFA1-FLC4-R2-Time24,hBFA1_h2_hBFA1-FLC4-R2-Time24_R1.fastq.gz
hBFA1-FLC4-R2-Time40,hBFA1_h2_hBFA1-FLC4-R2-Time40_R1.fastq.gz
hBFA1-FLC4-R2-Time8,hBFA1_h2_hBFA1-FLC4-R2-Time8_R1.fastq.gz
hBFA1-FLC4_alpha-R1-Subpool,hBFA1-FLC4_alpha-R1-Subpool_S14_R1_001.fastq.gz
hBFA1-FLC4_alpha-R2-Subpool,hBFA1-FLC4_alpha-R2-Subpool_S15_R1_001.fastq.gz
hBFA1-GlyEtOH-R1-Time16,hBFA1_h2_hBFA1-GlyEtOH-R1-Time16_R1.fastq.gz
hBFA1-GlyEtOH-R1-Time24,hBFA1_h2_hBFA1-GlyEtOH-R1-Time24_R1.fastq.gz
hBFA1-GlyEtOH-R1-Time40,hBFA1_h2_hBFA1-GlyEtOH-R1-Time40_R1.fastq.gz
hBFA1-GlyEtOH-R1-Time8,hBFA1_h2_hBFA1-GlyEtOH-R1-Time8_R1.fastq.gz
hBFA1-GlyEtOH-R2-Time16,hBFA1_h2_hBFA1-GlyEtOH-R2-Time16_R1.fastq.gz
