Library,R1_files
M3_2N-R1-Time0,Stanford_high_LT_M3_2N-R1-Time0_R1.fastq.gz
M3_2N-R1-Time104,Stanford_high_LT_M3_2N-R1-Time104_R1.fastq.gz
M3_2N-R1-Time112,Stanford_high_LT_M3_2N-R1-Time112_R1.fastq.gz
M3_2N-R1-Time128,Stanford_high_LT_M3_2N-R1-Time128_R1.fastq.gz
M3_2N-R1-Time144,Stanford_high_LT_M3_2N-R1-Time144_R1.fastq.gz
M3_2N-R1-Time160,Stanford_high_LT_M3_2N-R1-Time160_R1.fastq.gz
M3_2N-R1-Time216,Stanford_high_LT_M3_2N-R1-Time216_R1.fastq.gz
M3_2N-R1-Time96,Stanford_high_LT_M3_2N-R1-Time96_R1.fastq.gz
