Library,R1_files
CLM_2N-R1-Time0,Stanford_mid_LT_CLM_2N-R1-Time0_R1.fastq.gz
CLM_2N-R1-Time16,Stanford_mid_LT_CLM_2N-R1-Time16_R1.fastq.gz
CLM_2N-R1-Time24,Stanford_redos_LT_CLM_2N-R1-Time24_R1.fastq.gz
CLM_2N-R1-Time32,Stanford_mid_LT_CLM_2N-R1-Time32_R1.fastq.gz
CLM_2N-R1-Time40,Stanford_mid_LT_CLM_2N-R1-Time40_R1.fastq.gz
CLM_2N-R1-Time48,Stanford_redos_LT_CLM_2N-R1-Time48_R1.fastq.gz
CLM_2N-R1-Time56,Stanford_redos_LT_CLM_2N-R1-Time56_R1.fastq.gz
CLM_2N-R1-Time8,Stanford_mid_LT_CLM_2N-R1-Time8_R1.fastq.gz
